ID_HDC_G0,QA2_1V,AREA,BBX_LATMN,BBX_LONMN,BBX_LATMX,BBX_LONMX,GCPNT_LAT,GCPNT_LON,CTR_MN_NM,CTR_MN_ISO,XBRDR,XCTR_NBR,XC_NM_LST,XC_ISO_LST,GRGN_L1,GRGN_L2,UC_NM_MN,UC_NM_LST,UC_NM_SRC,H75_NBR,H90_NBR,H00_NBR,H75_AREA,H90_AREA,H00_AREA,E_BM_NM_LS,E_SL_LST,EL_AV_ALS,E_KG_NM_LS,E_RB_NM_LS,E_WR_P_90,E_WR_P_00,E_WR_P_14,E_WR_T_90,E_WR_T_00,E_WR_T_14,B75,B90,B00,B15,P75,P90,P00,P15,BUCAP75,BUCAP90,BUCAP00,BUCAP15,NTL_AV,GDP90_SM,GDP00_SM,GDP15_SM,INCM_CMI,DEV_CMI,TT2CC,E_GR_AV90,E_GR_AV00,E_GR_AV14,E_GR_AH90,E_GR_AM90,E_GR_AL90,E_GR_AT90,E_GR_AH00,E_GR_AM00,E_GR_AL00,E_GR_AT00,E_GR_AH14,E_GR_AM14,E_GR_AL14,E_GR_AT14,E_EC2E_E75,E_EC2E_E90,E_EC2E_E00,E_EC2E_E15,E_EC2E_R75,E_EC2E_R90,E_EC2E_R00,E_EC2E_R15,E_EC2E_I75,E_EC2E_I90,E_EC2E_I00,E_EC2E_I15,E_EC2E_T75,E_EC2E_T90,E_EC2E_T00,E_EC2E_T15,E_EC2E_A75,E_EC2E_A90,E_EC2E_A00,E_EC2E_A15,E_EC2O_E75,E_EC2O_E90,E_EC2O_E00,E_EC2O_E15,E_EC2O_R75,E_EC2O_R90,E_EC2O_R00,E_EC2O_R15,E_EC2O_I75,E_EC2O_I90,E_EC2O_I00,E_EC2O_I15,E_EC2O_T75,E_EC2O_T90,E_EC2O_T00,E_EC2O_T15,E_EC2O_A75,E_EC2O_A90,E_EC2O_A00,E_EC2O_A15,E_EPM2_E75,E_EPM2_E90,E_EPM2_E00,E_EPM2_E15,E_EPM2_R75,E_EPM2_R90,E_EPM2_R00,E_EPM2_R15,E_EPM2_I75,E_EPM2_I90,E_EPM2_I00,E_EPM2_I15,E_EPM2_T75,E_EPM2_T90,E_EPM2_T00,E_EPM2_T15,E_EPM2_A75,E_EPM2_A90,E_EPM2_A00,E_EPM2_A15,E_CPM2_T00,E_CPM2_T05,E_CPM2_T10,E_CPM2_T14,EX_FD_AREA,EX_FD_B75,EX_FD_B90,EX_FD_B00,EX_FD_B15,EX_FD_P75,EX_FD_P90,EX_FD_P00,EX_FD_P15,EX_SS_AREA,EX_SS_B75,EX_SS_B90,EX_SS_B00,EX_SS_B15,EX_SS_P75,EX_SS_P90,EX_SS_P00,EX_SS_P15,EX_EQ19PGA,EX_EQ19MMI,EX_EQ19_Q,EX_HW_IDX,SDG_LUE901,SDG_A2G14,SDG_OS15MX,field_161,field_162,field_163,field_164
"1510","1","82","64.0415856448","-22.0196926783","64.1624783278","-21.7448124189","64.1172890371","-21.8849601109",Iceland,ISL,"0","1",Iceland,ISL,Europe,Northern Europe,Reykjavik,Reykjavik,GISCO OSM,"1","1","1","34","50","58",Boreal Forests/Taiga,Cambisols,"32.9445519202","Mild temperate, fully humid, and  Cool summer",NAN,"1028.92501831","924.750030518","968.950027466","3.48213160038","4.01209521294","4.36770790815","12.8441553116","12.8441553116","15.0875768661","16.2936592102","115311.341537","141982.116369","158419.14209","184356.806473","111.386747742","90.4631909992","95.2383447298","88.3811100981","80.454055309","1652582912","1938189952","2776942336",HIC,MDR,"0","0.333541449353058","0.381821638394177","0.354595931176286","11.0018301263","57.2477697196","14.4443350507","82.6939348967","23.0212978081","51.277440576","8.3951965126","82.6939348967","22.7741233368","48.4020479426","11.5177636173","82.6939348967","14955.7506240394","794.929402495295","794.929402495295","794.929402495295","107504.300002321","61099.1025983763","60658.5029208493","54360.1100747212","232928.120955061","206529.06219273","266405.331741869","234731.136851882","12702.2358235862","20533.5521813262","22827.7746274362","31279.8763356258","20.6807589750468","21.0624698969565","20.8390952010573",NaN,NaN,NaN,NaN,NaN,"905.778725097348","5068.00384370094","2121.47492401698","1682.68456498928",NaN,NaN,NaN,NaN,NaN,NaN,NaN,"1017.27428937686","12.0503520548728","17.0621278795307","7.70386489158317","6.85577051557647","1.36438533585301","0.072519834107412","0.072519834107412","0.072519834107412","5.36427396930709","76.1462121790705","14.4088820335493","4.24315766107664","57.8454421309071","127.356999361412","167.499755656883","150.675444787812","1.26589839188701","2.03529738546526","2.36894746870471","1.75101535553186","0.063193399415339","0.087167850011566","0.046730912246358","0.043918038335555","6.005806","5.308366","5.311066","5.120965","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.436648","7",available,"12.03670025","0.91085","0.0916674136601","80.13",,,,
"1551","1","444","38.5882725615","-9.45298713017","38.9081904119","-9.03421868764","38.7419397891","-9.22688200993",Portugal,PRT,"0","1",Portugal,PRT,Europe,Southern Europe,Lisbon,Lisbon,GISCO OSM,"2","1","1","356","411","430","Mediterranean Forests, Woodlands, and Scrub",Cambisols,"85.9633874691","Mild temperate with dry summer, and  Hot summer",NAN,"822.150024414","837.725006104","876.92502594","17.3109955788","17.1031107903","17.5023298264","155.012695312","186.85647583","223.158584595","228.645126343","1583205.9938","1773500.95084","1886879.3009","1958520.77435","97.9106293934","105.360234367","118.268605993","116.743784052","59.557013094","33536323584","45111402496","47507738624",HIC,MDR,"0","0.107916584507233","0.334055394193403","0.357911642331311","0","25.8475434417","324.685419831","327.312243226","95.3922295718","309.366770225","37.8966068762","442.655606673","124.129677368","280.665297117","37.8606321873","442.655606673",NaN,"3633.65486406094","72964.9952657447","26028.0228384161","401097.175473509","614598.229590512","911334.235278045","970954.201154438","1784821.5668664","2974461.04460148","3668937.24905472","2359734.77704224","717025.759094798","1126625.1307648","1888042.95286882","2081202.86936207","18.5720278582546","45.9321722613353","27.8223573343223","17.5612491562777",NaN,NaN,"7.64268500548968","1406.8936901891","12966.1843890461","40438.5125933726","35264.7991462317","23517.2506155303","334320.077801848","1011810.81163141","1054238.95127852","757027.177875168",NaN,NaN,NaN,"63979.3399770041","1732.89445997985","1744.18317300061","1397.29524206931","1586.03641708496",NaN,"0.00407500768723","1.14555033288905","1.5234283064656","83.7382878838442","151.233421723114","133.496590352296","85.5745357677467","1677.65298858804","4491.27684464537","4605.40984333244","3077.06014547324","91.8836872708524","200.965330824262","381.219412150989","208.059852846305","7.27464108865563","8.25662996658005","7.0315414783975","7.5740213858731","11.55652","12.78484","10.69839","11.59775","4","1.6047090292","1.995855093","2.26056408882","2.29184484482","12684.1936035","11088.8449707","9885.58093262","7864.65667725","0","0","0","0","0","0","0","0","0","0.240416","6",available,"2.644360065","2.0339","0.0975482891487","48.5",,,,
"1554","1","35","38.5527592107","-9.1410832186","38.6504367822","-9.06037526306","38.6069197069","-9.09741920621",Portugal,PRT,"0","1",Portugal,PRT,Europe,Southern Europe,Amora,"Amora; Seixal",GISCO OSM,"1","1","1","16","21","33","Mediterranean Forests, Woodlands, and Scrub",Cambisols,"31.5045134902","Mild temperate with dry summer, and  Hot summer",NAN,"822.150024414","837.725006104","876.92502594","17.3109955788","17.1031107903","17.5023298264","10.285033226","14.6719236374","17.8227615356","18.3697185516","71973.3323601","85278.506132","93524.7864722","100681.192142","142.900611779","172.047146495","190.567251826","182.454321019","35.193035453","1313293184","1766576000","1911750912",HIC,MDR,"1.57639146390016","0.172858109278991","0.330616103811452","0.366545426224996","0","17.5578766593","17.5297847002","33.7602114326","1.56039875","31.8357942792","1.6914683304","35.0876613596","6.3335217265","26.9403323223","1.8138073108","35.0876613596",NaN,NaN,NaN,"2396.82943094704","19171.3864569125","31091.3890441682","48045.1017492491","58145.0061085602","476351.068947685","385897.527263145","456936.814145564","166887.589463551","28054.883610776","58199.3040317313","113195.032872452","101400.456484006","244.191878331708","115.521791669436","40.7660054534274","37.2298809338999",NaN,NaN,NaN,"1492.614549496","2485.70476506081","12615.8487748062","11871.8273029182","7304.06644287019","16073.9545213596","52347.9650683391","55411.2512777335","40432.4403021611",NaN,NaN,NaN,"6059.420378844","757.23683263085","762.187494731459","610.589687085711","693.118752842597",NaN,NaN,NaN,"0.323155409748141","10.1787744042485","37.6890291132545","32.2194169217682","18.8384741783932","324.608551563805","348.798436157919","361.911305545383","170.451955749547","6.33612174273135","15.7875993897084","30.9807022027978","15.110822738357","2.99134341318134","3.06873666892265","2.45777703465589","2.7593274437232","12.11792","13.02504","11.08424","12.0188","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.221146","6",available,"2.644360065","1.3537","0.109959853717","47.51",,,,
"1556","1","24","38.6237924995","-9.08715645895","38.6859682731","-9.00431329787","38.6556180463","-9.04883265815",Portugal,PRT,"0","1",Portugal,PRT,Europe,Southern Europe,Barreiro,"Barreiro; Moita",GISCO OSM,"1","1","1","23","24","24","Mediterranean Forests, Woodlands, and Scrub",Podzols,"13.3879625011","Mild temperate with dry summer, and  Hot summer",NAN,"822.150024414","837.725006104","876.92502594","17.3109955788","17.1031107903","17.5023298264","10.8382053375","11.7295646667","13.0528020859","13.2023239136","101048.280882","109011.26267","112396.22686","110189.19249","107.2576915","107.599567049","116.132030857","119.815052776","52.839715958","1055135936","1419315840","1488801024",HIC,MDR,"9.80160479110776","0.119551706021224","0.276296634212539","0.301128825584561","0","6.2086397088","18.0002185471","20.9984688272","0.8165334544","19.0599844556","4.3323403458","24.2088582559","3.6759698586","16.7754681007","3.7574202966","24.2088582559",NaN,NaN,NaN,"4955.44167777439","15761.2438743481","24091.7767892891","35586.5670175173","42180.0283931952","869857.318564355","596813.12063702","685867.685050803","169345.629717138","13754.0000117114","26761.1193786342","51722.2905406115","46887.425748902","3.38656407870314","14.5340516025956","9.17194902996756","5.6442809047397",NaN,NaN,NaN,"3085.97860653872","1927.24393204826","7772.6641351665","8227.1880582983","5713.74293365374","12242.6081937541","36645.7587951739","38061.4122057859","27231.7045358937",NaN,NaN,NaN,"2644.42970828088","609.96678950688","613.959219317856","491.831490782141","558.308497631019",NaN,NaN,NaN,"0.668123382159682","7.98366918443836","23.5093130645493","22.4443907364694","14.5791243271846","563.709195675882","402.992564631905","414.689464365085","123.315540390496","3.06091088675514","6.91408013297888","13.1347064418955","6.94930911488804","2.43953904368785","2.51375091828084","2.01856336094105","2.25941989570434","12.2268","12.6566","11.131634","12.31645","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.223349","6",available,"2.644360065","11.0053","0.0369907188162","45",,,,
"1559","1","15","38.5083767693","-8.91391601972","38.543881901","-8.8421404094","38.5276079002","-8.87964221384",Portugal,PRT,"0","1",Portugal,PRT,Europe,Southern Europe,Setúbal,Setúbal,GISCO OSM,"1","1","1","13","14","15","Mediterranean Forests, Woodlands, and Scrub",Cambisols,"30.0698062556","Mild temperate with dry summer, and  Hot summer",NAN,"762.825027466","788.425018311","804.425018311","17.3873767853","17.1877851486","17.5789327621","6.22583770752","7.02746391296","8.57012748718","8.6999206543","59527.462368","71558.8050966","79273.3959694","86536.7935915","104.587655174","98.2054396168","108.108494437","100.534354154","73.303509776","1262232704","1697891968","1851724928",HIC,MDR,"19.0239966892959","0.104961261675743","0.294368783185174","0.311278385160931","0","0.8056903985","8.5925290625","8.6874153316","3.0141687625","11.4318101145","0.7108041294","15.1567830064","3.8532402681","10.3966588598","0.9068838784","15.1567830064",NaN,NaN,NaN,NaN,"1942.00465684493","3065.74276473099","4894.09901907037","5141.69312040195","60268.9271933786","100518.713356967","141579.27287583","92863.8840028745","3608.06907199102","7749.0264093242","14627.015613417","13177.1333353953","194.14352947011","82.8487482588564","26.4234342139079","26.0319479348817",NaN,NaN,NaN,NaN,"551.426847601814","2272.65806170374","2630.73195726825","2249.52194384231","10648.6946753283","24130.521659121","23820.2008002449","7414.56431023616",NaN,NaN,NaN,"806.274649261653","157.734102760323","158.767616827683","127.191869222275","144.381220345826",NaN,NaN,NaN,NaN,"2.01442949049143","6.63772077964058","6.85699697024904","5.44037701322812","54.2635103903144","137.965151023725","135.347738458347","58.8480421898862","0.886266740424533","2.39249190708968","4.81713674410036","2.15029189949336","0.682771199566594","0.723059817824321","0.589300601822298","0.643956538929096","12.80954","13.92606","11.57212","12.40875","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.209516","6",available,"2.644360065","1.1233","0.0732354266084","42",,,,
"1566","1","59","41.3253859417","-8.79576244435","41.496721665","-8.71506976543","41.4009454307","-8.75649472596",Portugal,PRT,"0","1",Portugal,PRT,Europe,Southern Europe,Póvoa de Varzim,"Póvoa de Varzim; Vila do Conde",GISCO OSM,"1","1","1","23","26","54",Temperate Broadleaf and Mixed Forests,Cambisols,"17.671372649","Mild temperate with dry summer, and  Warm summer",NAN,"1112.17501831","1354.17501831","1174.15003967","15.5682976246","15.3531813622","15.7321207523","29.7027683258","31.305847168","32.6944961548","33.1042442322","71749.4232635","80525.8790054","85281.8159521","87009.4466932","413.97919279","388.767531067","383.370074732","380.46724224","29.722598361","859738560","1017237568","1049725120",HIC,MDR,"183.063189484076","0.286517057739642","0.465454345440484","0.468123039771592","0","39.6683454887","19.2270173319","57.0956777855","28.5769323326","21.5259905039","8.7924399841","58.8953628206","24.2801177152","25.6140399233","9.0012051821","58.8953628206",NaN,NaN,NaN,NaN,"11064.8626092372","17013.0197074207","24617.4287592041","24580.3340132148","35969.4374329473","61435.2997350804","77161.6409661667","49991.1855070075","19333.8338629149","41364.3232006492","76478.4388616904","68091.5771957032","310.833410564251","133.21227931439","42.6829083373586","41.9034875098889",NaN,NaN,NaN,NaN,"4499.16535527784","20624.6574609834","17547.2059473999","11421.4146625388","6671.1208265848","21140.3272786727","22250.5985726583","16033.5645478526",NaN,NaN,NaN,"4323.44726151574","178.045672472492","122.225924005005","65.8106730752554","44.0930043163458",NaN,NaN,NaN,NaN,"16.006599155086","59.6073723495192","45.3410532899563","27.5536656595886","33.6955409565916","93.8693399138543","97.1760730143762","65.1710501299251","5.42379079629918","13.9954405160121","28.134091681416","11.5406919815798","2.34172106623702","3.14952296719721","2.97538355135636","2.57898931671322","13.80918","14.72206","13.7638","12.61485","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.047808","4",available,NaN,"0.72131","0.257093786711","43.9",,,,
"1568","1","94","42.1566000122","-8.82446894856","42.2834443191","-8.62318649709","42.2155765684","-8.72144773",Spain,ESP,"0","1",Spain,ESP,Europe,Southern Europe,Vigo,Vigo,GISCO OSM,"1","1","1","79","88","91",Temperate Broadleaf and Mixed Forests,Cambisols,"95.921452915","Mild temperate with dry summer, and  Warm summer",NAN,"1456.70004272","1817.55001831","1494.30001831","14.5983252525","14.4630374908","14.7915377617","35.9750442505","38.7487220764","40.7225456238","42.1067276001","288328.048088","280980.884644","267378.275955","265406.889839","124.771226695","137.905189264","152.303119909","158.649715633","26.964744081","2997919232","3725116160","4450029568",HIC,MDR,"318.325231304752","0.270699166238231","0.456607780476343","0.477964938457795","0.4386271493","61.8062997843","31.4665234819","82.7652380777","51.6848346275","26.4794937809","15.5471220071","93.7114504154","54.0899982446","24.0738114762","15.5476406946","93.7114504154",NaN,NaN,NaN,NaN,"39398.0505142141","49187.2770505131","68035.5533767358","72970.2539606297","101946.906448838","99564.2439104447","123682.657968858","79621.5069669002","34419.2009324727","69521.2917436442","101156.070093793","104837.099670423","110.232953472785","120.702913328214","108.436526766151","91.7474719947036",NaN,NaN,NaN,NaN,NaN,"12128.1377652092","11149.0394514101","12298.8510726567",NaN,"25516.5743772442","12415.860757018","10774.7272268329",NaN,NaN,"240.566174338677","3482.17262685229","70.8535764815224","79.854278776346","52.9517388684225","54.7928322805408",NaN,NaN,NaN,NaN,"15.492613677655","43.8688790745631","33.8997908918093","33.5392124604621","36.164998425532","62.2876354047125","36.1893119574767","20.2138573532481","10.7820012797279","19.9492791512008","32.9655834861724","13.8221360485532","0.576018406227182","0.677630003505052","0.622209019622785","0.660234226772465","10.471318","11.71892","10.70313","9.270765","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.045565","4",available,"4.940330029","-1.4575","0.535812709256","57.54",,,,
"1569","1","343","40.9922136633","-8.73513297089","41.2803256011","-8.44038291834","41.1646538654","-8.60914900985",Portugal,PRT,"0","1",Portugal,PRT,Europe,Southern Europe,Porto,Porto,GISCO OSM,"1","1","1","262","306","331",Temperate Broadleaf and Mixed Forests,Cambisols,"82.7764535413","Mild temperate with dry summer, and  Warm summer",Douro,"1112.17501831","1354.17501831","1174.15003967","15.5682976246","15.3531813622","15.7321207523","169.772247314","181.889190674","203.915420532","209.941360474","946689.635113","992028.857283","1014251.34938","998283.490438","179.332529921","183.350705313","201.050184115","210.302346462","44.163411389","11745309696","13906655232","13829995520",HIC,MDR,"158.950171299142","0.209203620472739","0.419079916603538","0.459607641905883","7.029999623","120.958851694","111.660288906","237.274937691","121.972530097","204.683981869","16.1293409814","342.785852948","157.626258167","169.138060124","16.0215346571","342.785852948","2217.13851714856","5109.68757755484","37507.417371103","69736.8022419704","132815.397037999","196844.708634683","286982.872320925","278946.308289718","761087.772527556","1122299.06984026","1421802.04516714","1054250.79451948","247604.413291766","448572.849643848","796951.404912076","794191.788759543","983.037316876344","428.047117067249","139.481303970163","135.200339219588","698.966379842847","1542.51641141789","2728.28444283866","2739.98644219432","19609.4036260922","70503.8655723829","57488.586601987","38035.3978028138","105686.096737123","310961.967906132","322411.971268581","230768.818847178",NaN,NaN,NaN,"35774.7367553224","255.532621982697","175.759063819464","94.633698730263","63.3771211568447","0.648076739266054","0.374086960152279","1.54413751174721","5.8024831877948","74.8972174571584","219.687354399206","159.382983763017","97.9509522203184","590.900188731534","1409.83513980854","1487.92169732408","1013.36396938249","44.5373527218891","107.041425821256","209.758301098991","97.4747095787698","3.64095430853659","5.58005501250157","5.54037014750949","4.83936858445253","12.17912","13.26746","12.0858","11.20235","38","17.8152294159","18.2304477692","19.7947235107","20.285036087","125184.639316","122713.760565","119741.867328","109126.082041","0","0","0","0","0","0","0","0","0","0.054254","4",available,"2.144279957","22.8207","0.304612737977","45.96",,,,
"1572","1","17","40.1843986841","-8.44920172426","40.2381400609","-8.38672952117","40.2125845745","-8.41632481765",Portugal,PRT,"0","1",Portugal,PRT,Europe,Southern Europe,Coimbra,Coimbra,GISCO OSM,"1","1","1","17","17","17","Mediterranean Forests, Woodlands, and Scrub",Cambisols,"75.4740334713","Mild temperate with dry summer, and  Hot summer",NAN,"880.325012207","1015.75004578","934.300033569","15.7798535824","15.5474026203","15.9396522045","6.65899372101","7.33271980286","8.95282363892","9.32387733459","53964.5753174","56128.993042","56338.2034912","53192.6025391","123.395647642","130.640501556","158.912125061","175.285225568","55.700420716","519094496","696284672","676619136",HIC,MDR,"102.656021325382","0.165739838237535","0.355737215904709","0.381585569318265","0","4.4036518118","12.57505136","16.9787031718","3.7479742169","13.2307289549","0","16.9787031718","4.6269717772","12.3517313946","0","16.9787031718",NaN,NaN,NaN,NaN,"2448.08590902964","3435.14607202638","4898.8662623678","3936.72921872765","19057.8074478372","31404.6249840556","41983.7547365267","26926.1075649919","2788.39818829672","6093.85503446422","11568.0063726094","10224.4841729222","64.9623269654778","27.6449709818765","8.79030743412744","8.68002443395419",NaN,NaN,NaN,NaN,"965.06761269985","3712.20617716919","3881.19685546791","2981.00684835146","3456.49659605271","8366.59096725195","8341.10254629062","3840.09052523913",NaN,NaN,NaN,"643.138984563643","27.5710529866704","26.2133460480725","19.0270770496161","21.1535241332435",NaN,NaN,NaN,NaN,"3.4441649745471","10.7514173815857","10.0014649529851","7.13120407991204","17.4262931840926","43.7330726078426","43.1779761945965","21.7640161518533","0.686261877213089","1.90875478044663","3.88718812172296","1.65535368317232","0.158808690684762","0.257019707286272","0.251704746052586","0.242679967759131","13.92348","15.6947","13.53908","13.2958","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.075227","4",available,"4.109620094","-4.4708","0.239351833192","45.18",,,,
"1573","1","30","41.5057440185","-8.46897587428","41.5689136565","-8.37634469454","41.5430413986","-8.42435909111",Portugal,PRT,"0","1",Portugal,PRT,Europe,Southern Europe,Braga,Braga,GISCO OSM,"1","1","1","15","17","23",Temperate Broadleaf and Mixed Forests,Cambisols,"175.848486772","Mild temperate with dry summer, and  Warm summer",NAN,"1216.17501831","1512.67501831","1254.10005188","11.9923071861","11.8045372963","12.1646976471","13.3143444061","14.3031511307","18.8425312042","19.8634090424","70650.5529785","89955.9202271","103453.422546","119656.565247","188.45350595","159.001776588","182.135406838","166.003503455","36.16456426","841272320","995388224","1165348352",HIC,MDR,"196.457391587225","0.347720703811821","0.389056486933116","0.425348117225578","2.9970047439","12.2813918453","3.1760593125","18.4544559017","9.0918442495","20.707225112","0","29.7990693615","9.0329972196","20.7660721419","0","29.7990693615",NaN,NaN,NaN,"330.294045493248","4956.54562093919","8384.46497257044","13514.9156745407","13964.5589954994","22792.0665122015","40806.0256766325","53296.6497581812","36734.7486125957","8419.24062928481","18174.3643737918","34213.7229719966","30870.6274505858","146.06202727139","65.2778875948886","21.8410820352015","20.7536804696531",NaN,NaN,NaN,"53.9864459158546","2299.15389196619","11879.5239110979","10680.5827913232","8009.79950285034","4111.00117850597","14693.0302550005","15810.8070483056","11747.4777710407",NaN,NaN,NaN,"1870.99228462579","110.423879264423","75.8498133542803","40.8439057693582","27.3604179668727",NaN,NaN,NaN,"0.014217552709028","8.14129288391129","34.2611504040777","27.521723198294","19.2723878684287","21.2096303210605","65.3466334145133","68.9434238230078","47.7346109496195","1.99362572061554","5.50928563849132","11.1910269173092","4.80145645607132","0.559451726461384","0.565316880745636","0.449821692225389","0.367881381716809","12.72634","14.0304","12.87724","11.82975","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.048752","4",available,"4.22028017","1.151","0.19398907216","33.8",,,,
